Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
9.660125827789306641e+01,9.745651762302826171e+01,0.000000000000000000e+00,4.306600000000000250e+01,4.077100000000000080e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.759211802482604980e+01,9.978522292539877014e+01,0.000000000000000000e+00,4.311500000000000199e+01,4.067399999999999949e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.859294390678405762e+01,9.967907271229637445e+01,0.000000000000000000e+00,4.321300000000000097e+01,4.057600000000000051e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.958336615562438965e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.326200000000000045e+01,4.062500000000000000e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.005849812030792236e+02,9.758212173136541878e+01,0.000000000000000000e+00,4.345700000000000074e+01,4.077100000000000080e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.015755186080932617e+02,1.000000000000000000e+02,0.000000000000000000e+00,4.345700000000000074e+01,4.067399999999999949e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.025762822628021240e+02,9.787027604988678320e+01,0.000000000000000000e+00,4.360399999999999920e+01,4.057600000000000051e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.035670948028564453e+02,9.863838549952555468e+01,0.000000000000000000e+00,4.370100000000000051e+01,4.052700000000000102e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.045674369335174561e+02,9.988797522204235690e+01,0.000000000000000000e+00,4.375000000000000000e+01,4.057600000000000051e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.055591089725494385e+02,9.766234657286442200e+01,0.000000000000000000e+00,4.394500000000000028e+01,4.033200000000000074e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.065591917037963867e+02,9.886030211054536210e+01,0.000000000000000000e+00,4.404299999999999926e+01,4.047899999999999920e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.075511107444763184e+02,1.000000000000000000e+02,0.000000000000000000e+00,4.404299999999999926e+01,4.042999999999999972e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.085514860153198242e+02,9.412492541462061979e+01,0.000000000000000000e+00,4.438499999999999801e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.095423364639282227e+02,9.965060253693580705e+01,0.000000000000000000e+00,4.433599999999999852e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.105434656143188477e+02,9.734257068854043382e+01,0.000000000000000000e+00,4.448199999999999932e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
